"County","ED_visit_count","total_pop","prop_black","prop_asian","prop_hispanic","log_med_income","gini_index","health_outcomes","rural","insured_prop","segregation_index","vape_shop_density","gps"
"Alamance",5060,174286,0.224,0.024,0.148,4.165812147,0.44,40,0,0.901,42,3.442617307,3.14092906122009
"Alexander",1106,36440,0.053,0.013,0.054,4.17850187,0.433,38,1,0.912,72,10.97694841,2.18532770947027
"Alleghany",401,11075,0.033,0.008,0.115,3.790352423,0.515,56,1,0.853,28,0,1.18067815103348
"Anson",718,21903,0.495,0.024,0.036,3.789742371,0.448,95,1,0.867,27,4.565584623,2.73946238345272
"Ashe",1073,26831,0.015,0.007,0.058,3.928427709,0.441,27,1,0.879,65,11.18109649,0.424820069988934
"Avery",620,17643,0.048,0.006,0.057,4.054511662,0.492,20,1,0.859,31,5.6679703,2.50496476451138
"Beaufort",1000,44597,0.244,0.008,0.078,4.060391285,0.47,76,1,0.895,40,15.69612306,2.52421807032384
"Bertie",469,17482,0.616,0.013,0.022,3.82714027,0.54,90,1,0.888,37,0,2.20827519903634
"Bladen",521,29591,0.344,0.002,0.09,3.796118205,0.526,85,1,0.911,27,10.1382177,2.56196923477574
"Brunswick",1796,145889,0.102,0.012,0.055,4.304524447,0.443,25,1,0.92,45,13.02360013,2.2659725836977
"Buncombe",6336,271790,0.07,0.018,0.083,4.256718481,0.48,21,0,0.881,54,19.86828066,3.06071124057052
"Burke",1572,87863,0.075,0.039,0.082,4.019692853,0.453,70,1,0.885,52,1.138135506,2.00984043277819
"Cabarrus",4288,231262,0.219,0.064,0.124,4.455323564,0.435,11,0,0.922,31,0.864819988,2.72165179969423
"Caldwell",1718,80618,0.061,0.012,0.064,4.014597644,0.438,66,1,0.887,59,1.240417773,2.30933151048794
"Camden",311,10743,0.102,0.023,0.039,4.474845076,0.351,5,1,0.97,9,0,2.42308366206669
"Carteret",1842,68652,0.068,0.018,0.047,4.251846762,0.452,26,1,0.907,62,0,2.91826755569063
"Caswell",496,22689,0.329,0.007,0.049,4.084412065,0.425,78,1,0.909,26,0,1.88582227986034
"Catawba",3981,162051,0.1,0.053,0.111,4.167347162,0.466,33,0,0.882,38,9.256345225,2.14722037728072
"Chatham",570,78319,0.124,0.028,0.134,4.483386659,0.496,13,1,0.914,43,5.107317509,0.624024708487826
"Cherokee",838,29197,0.022,0.008,0.035,3.941504135,0.422,77,1,0.852,49,17.12504709,1.8523560144456
"Chowan",414,13814,0.337,0.002,0.039,4.042735428,0.464,79,1,0.911,36,7.239032865,2.13873901519125
"Clay",179,11391,0.022,0.008,0.039,3.982388268,0.474,36,1,0.847,30,8.778860504,1.63959562782123
"Cleveland",3482,100170,0.206,0.014,0.044,4.021218159,0.464,83,1,0.896,31,15.97284616,2.60021007769164
"Columbus",1274,50453,0.311,0.007,0.055,3.875027016,0.475,91,1,0.864,29,13.87429885,2.53485361568497
"Craven",3253,101074,0.225,0.039,0.074,4.16875606,0.457,43,1,0.912,38,14.84061183,3.13621848445174
